ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA,P_FUGA,FUGA_PRIMA
2295,M,457693.0,45,UNV,CAS,31,119.0,SANTIAGO,0,190591,0,20396,0,0,415,1.0,2700000,NO,1.0,0.9453529119491577,1
2296,F,2258382.0,30,TEC,SOL,74,272.0,VALDIVIA,0,47354,0,0,0,0,2,0.0,1900000,NO,0.0,0.002241698792204261,0
2297,M,546190.0,51,UNV,CAS,138,1.0,ARICA,622808,61646,0,268771,235,2913,0,1.0,1100000,SI,1.0,0.9236621260643005,1
2298,F,424424.0,41,MED,SOL,138,80.0,SANTIAGO,0,1054,0,392871,1961,0,1022,3.0,3500000,NO,0.0,0.3327481746673584,1
2299,M,6862726.0,42,MED,CAS,52,91.0,SANTIAGO,0,264308,0,87931,74,0,38,1.0,2000000,NO,1.0,0.9545027017593384,1
2300,F,3886687.0,39,MED,VIU,45,115.0,SANTIAGO,0,0,0,96594,0,3930,393,0.0,2200000,NO,0.0,0.0022964179515838623,0
2301,F,1455.0,29,MED,SOL,117,86.0,SANTIAGO,0,221143,0,0,4,0,0,1.0,900000,NO,0.0,0.011451402679085732,0
2302,M,726924.0,45,TEC,SOL,138,1.0,ARICA,0,239202,0,0,3,0,85,1.0,3800000,SI,1.0,0.8769447803497314,1
2303,F,106848.0,40,UNV,CAS,12,13.0,CALAMA,0,209963,0,156919,294,4012,754,2.0,1800000,NO,1.0,0.8902554512023926,1
2304,M,1136817.0,42,MED,SEP,31,119.0,SANTIAGO,0,1667833,0,73406,4229,2504,225,2.0,3700000,NO,1.0,0.8319806456565857,1
2305,F,242578.0,55,MED,CAS,27,226.0,CONCEPCION,0,3357,0,56860,13,0,42,1.0,1800000,NO,1.0,0.7598938941955566,1
2306,F,546344.0,34,TEC,SEP,128,88.0,SANTIAGO,0,33439,0,417758,278,0,25,2.0,2400000,NO,0.0,0.0847412645816803,1
2307,F,215333.0,59,TEC,CAS,90,67.0,VINA DEL MAR,0,26213,0,0,0,0,5,0.0,1300000,NO,0.0,0.012245260179042816,0
2308,F,741118.0,27,,SOL,56,131.0,RANCAGUA,203491,151344,0,0,609,0,0,1.0,2400000,NO,,,0
2309,F,321156.0,26,MED,CAS,27,226.0,CONCEPCION,280476,8570,0,96832,547,0,126,2.0,1600000,NO,1.0,0.6177209615707397,1
2310,M,54502.0,46,MED,CAS,55,90.0,SANTIAGO,0,135954,0,133478,0,0,229,1.0,2100000,NO,1.0,0.9805903434753418,1
2311,M,93628.0,47,MED,CAS,146,121.0,SANTIAGO,0,199857,0,1058542,1713,0,9786,3.0,8000000,NO,1.0,0.9713761210441589,1
2312,M,178452.0,54,UNV,CAS,127,85.0,SANTIAGO,0,505982,0,0,420,0,116,2.0,8000000,NO,1.0,0.8575181365013123,1
2313,M,23230.0,55,UNV,CAS,27,226.0,CONCEPCION,0,201547,0,0,0,0,48,1.0,2300000,NO,1.0,0.930754542350769,1
2314,M,151622.0,33,TEC,SOL,83,105.0,SANTIAGO,0,33394,0,356014,728,9045,1407,2.0,5000000,NO,0.0,0.1773495078086853,1
2315,F,30485.0,39,TEC,SOL,80,106.0,SANTIAGO,0,423470,0,0,75,0,0,1.0,1500000,NO,0.0,0.006331390235573053,0
2316,F,198841.0,36,TEC,VIU,142,93.0,SANTIAGO,218191,249096,0,967,3136,0,751,1.0,5300000,NO,0.0,0.01632133685052395,0
2317,F,129320.0,51,MED,CAS,93,89.0,SANTIAGO,0,183726,0,121969,0,0,0,0.0,1900000,NO,0.0,0.012571098282933235,0
2318,M,160046.0,36,TEC,CAS,64,314.0,COYHAIQUE,0,663350,0,18955,120,0,10761,2.0,4200000,NO,0.0,0.05670756846666336,1
2319,F,913011.0,33,TEC,CAS,84,119.0,SANTIAGO,0,20344,0,37690,1,0,108,1.0,5400000,NO,0.0,0.02168412320315838,0
2320,M,1504336.0,47,UNV,SOL,138,1.0,ARICA,0,2526797,0,0,0,0,1211,1.0,8000000,NO,1.0,0.8072464466094971,1
2321,F,2297287.0,49,MED,CAS,40,60.0,LA CRUZ,0,95065,0,6988,137,0,2345,1.0,8000000,NO,0.0,0.028268082067370415,0
2322,M,752156.0,38,UNV,CAS,29,93.0,SANTIAGO,0,720510,0,0,0,293,0,0.0,2900000,NO,0.0,0.005724234972149134,0
2323,F,24586.0,47,MED,CAS,103,115.0,SANTIAGO,0,49481,0,256484,0,4244,0,1.0,1800000,SI,0.0,0.18101760745048523,1
